"Name","link","devs","release","note AVG","critics recommend","price","isMultiplayer","ageLimit"
"#Breakforcist Battle","https://opencritic.com/game/5902/-breakforcist-battle","Lucid Sheep Games","Apr 12, 2018","none","none"
"#Drive","https://opencritic.com/game/10935/-drive","PM Studios, Lionsharp Studios, Pixel Perfect Dude","Feb 16, 2021","none","none"
"#Funtime","https://opencritic.com/game/9845/-funtime","The Quantum Astrophysicists Guild, OneGuyGames","Jul 16, 2020","none","none"
"#IDARB","https://opencritic.com/game/831/-idarb","Other Ocean Interactive","Jan 30, 2015","78","54%"
"#RaceDieRun","https://opencritic.com/game/9178/-racedierun","Atomic Raccoon Studio, QubicGames S.A.","Aug 9, 2019","none","none"
"#SelfieTennis (VR)","https://opencritic.com/game/2789/-selfietennis-vr-","Devolver Digital, Bandello, VRUnicorns","Apr 1, 2016","none","none"
"#WarGames","https://opencritic.com/game/5785/-wargames","Eko","Mar 14, 2018","57","none"
"#killallzombies","https://opencritic.com/game/178/-killallzombies","Beatshapers","Oct 28, 2014","60","7%"
"'n Verlore Verstand","https://opencritic.com/game/4300/n-verlore-verstand","Skobbejak Games","Feb 1, 2016","none","none"
".hack//G.U. Last Recode","https://opencritic.com/game/5125/-hack-g-u-last-recode","CyberConnect2, BANDAI NAMCO Entertainment","Nov 3, 2017","76","50%"
"0 Degrees","https://opencritic.com/game/12084/0-degrees","eastasiasoft, Kiddo Dev","May 19, 2021","none","none"
"0RBITALIS","https://opencritic.com/game/887/0rbitalis","Mastertronic, Alan Zucconi","May 28, 2015","68","36%"
"0°N 0°W","https://opencritic.com/game/5633/0-n-0-w","Colorfiction","Mar 1, 2018","78","80%"
"1 Screen Platformer","https://opencritic.com/game/7948/1-screen-platformer","Return To Adventure Mountain, LLC","Mar 6, 2019","none","none"
"1-2-Switch","https://opencritic.com/game/4001/1-2-switch","Nintendo","Mar 3, 2017","55","8%"
"10 Beautiful Postcards","https://opencritic.com/game/8143/10-beautiful-postcards","thecatamites","May 28, 2019","none","none"
"10 Second Ninja","https://opencritic.com/game/999/10-second-ninja","Mastertronic, GameDesignDan","Mar 5, 2014","70","63%"
"10 Second Ninja X","https://opencritic.com/game/3000/10-second-ninja-x","Curve Digital, Four Circle Interactive","Jul 19, 2016","77","67%"
"10 Second Run RETURNS","https://opencritic.com/game/5473/10-second-run-returns","Blue Print","Jan 25, 2018","72","none"
"10 Seconds to Win!","https://opencritic.com/game/16497/10-seconds-to-win-","Vergiu, eastasiasoft","Dec 28, 2021","none","none"
"1000 Heads Among the Trees","https://opencritic.com/game/2101/1000-heads-among-the-trees","Aaron Oldenburg","Dec 11, 2015","none","none"
"1001 Spikes","https://opencritic.com/game/250/1001-spikes","Nicalis","Jun 3, 2014","80","78%"
"1001 Ultimate Mahjong 2","https://opencritic.com/game/16176/1001-ultimate-mahjong-2","NAWIA GAMES","Oct 25, 2018","none","none"
"100ft Robot Golf","https://opencritic.com/game/3394/100ft-robot-golf","No Goblin","Oct 10, 2016","58","0%"
"100ft Robot Golf (VR)","https://opencritic.com/game/3395/100ft-robot-golf-vr-","No Goblin","Oct 13, 2016","none","none"
"101 Ways To Die","https://opencritic.com/game/2357/101-ways-to-die","4 Door Lemon, Vision Games","Mar 22, 2016","65","20%"
"1080° Snowboarding","https://opencritic.com/game/15991/1080-snowboarding","Nintendo","Dec 7, 2023","none","none"
"10mg: Sealed Estate","https://opencritic.com/game/11004/10mg-sealed-estate","Salman Shurie, 10mg, Gesinimo Games","Oct 15, 2020","none","none"
"11-11: Memories Retold","https://opencritic.com/game/6862/11-11-memories-retold","BANDAI NAMCO Entertainment, Aardman Animations, Digixart","Nov 8, 2018","78","57%"
"112 Operator","https://opencritic.com/game/9330/112-operator","Jutsu Games, Games Operators","Apr 23, 2020","71","50%"
"12 Is Better Than 6: The Apostles","https://opencritic.com/game/5344/12-is-better-than-6-the-apostles","Ink Stains Games, HypeTrain Digital","Dec 6, 2017","none","none"
"12 Labours of Hercules II: The Cretan Bull","https://opencritic.com/game/9416/12-labours-of-hercules-ii-the-cretan-bull","JetDogs , Zoom Out Games, JetDogs","Jun 2, 2015","none","none"
"12 Minutes","https://opencritic.com/game/11614/12-minutes","Luis Antonio, Annapurna Interactive","Aug 19, 2021","74","53%"
"12 is Better Than 6","https://opencritic.com/game/2260/12-is-better-than-6","Ink Stains Games, Pinkapp Games","Nov 20, 2015","60","36%"
"12 orbits","https://opencritic.com/game/5940/12-orbits","Roman Uhlig","Oct 24, 2016","67","40%"
"13 Sentinels Aegis Rim","https://opencritic.com/game/10110/13-sentinels-aegis-rim","Vanillaware, Atlus, SEGA of America, Inc.","Sep 22, 2020","86","97%"
"140","https://opencritic.com/game/3245/140","Double Fine Productions","Sep 6, 2016","72","39%"
"1428: Shadows over Silesia","https://opencritic.com/game/13779/1428-shadows-over-silesia","KUBI Games, KUBI Games","Oct 4, 2022","none","none"
"153 Hand Video Poker","https://opencritic.com/game/2978/153-hand-video-poker","Skunk Software","Jun 2, 2016","none","none"
"15in1 Solitaire","https://opencritic.com/game/12799/15in1-solitaire","Silesia Games","Feb 24, 2022","none","none"
